,noise_type,mia,acc,T,version,machine,rp
0,0.0,0.694995471417563,0.3344,10.0,v8,becat,0.0
1,0.01,0.6927971192956498,0.3393,10.0,v8,becat,0.0
2,0.05,0.6885365680022622,0.2628,10.0,v8,becat,0.0
3,0.1,0.695993127009864,0.2983,10.0,v8,becat,0.0
4,0.5,0.7023546613108584,0.3722,10.0,v8,becat,0.0
5,1.0,0.688134638736401,0.2148,10.0,v8,becat,0.0
6,2.0,0.691595978067209,0.3362,10.0,v8,becat,0.0
7,5.0,0.7001227942963707,0.2496,10.0,v8,becat,0.0
8,10.0,0.6895406849658335,0.2241,10.0,v8,becat,0.0
9,100.0,0.6899922088666441,0.3082,10.0,v8,becat,0.0
10,1000.0,0.6969399787986416,0.3529,10.0,v8,becat,0.0
11,10000.0,0.6997751668501663,0.3688,10.0,v8,becat,0.0
12,0.0,0.6976868606019772,0.332,10.0,v8,becat,1.0
13,0.01,0.6975375288612382,0.3574,10.0,v8,becat,1.0
14,0.05,0.696491581810335,0.3871,10.0,v8,becat,1.0
15,0.1,0.6969897882773955,0.4002,10.0,v8,becat,1.0
16,0.5,0.6949455625013247,0.4053,10.0,v8,becat,1.0
17,1.0,0.698830997028243,0.4219,10.0,v8,becat,1.0
18,2.0,0.7032460152373596,0.2687,10.0,v8,becat,1.0
19,5.0,0.6940467758027815,0.2394,10.0,v8,becat,1.0
20,10.0,0.7006688219587914,0.4124,10.0,v8,becat,1.0
21,100.0,0.6916961282926306,0.2866,10.0,v8,becat,1.0
22,1000.0,0.6880843862174829,0.2216,10.0,v8,becat,1.0
23,10000.0,0.6976370858327973,0.2133,10.0,v8,becat,1.0
24,0.0,0.6985823830498846,0.3881,10.0,v8,becat,2.0
25,0.01,0.6942465760032464,0.3489,10.0,v8,becat,2.0
26,0.05,0.6938968994504913,0.2593,10.0,v8,becat,2.0
27,0.1,0.7020573666897014,0.3368,10.0,v8,becat,2.0
28,0.5,0.7018095536385981,0.3495,10.0,v8,becat,2.0
29,1.0,0.7064581946196175,0.4456,10.0,v8,becat,2.0
30,2.0,0.6952948726174042,0.267,10.0,v8,becat,2.0
31,5.0,0.6930471755596119,0.2893,10.0,v8,becat,2.0
32,10.0,0.7034439860373133,0.3059,10.0,v8,becat,2.0
33,100.0,0.6974379619771015,0.3123,10.0,v8,becat,2.0
34,1000.0,0.7007680676913064,0.3025,10.0,v8,becat,2.0
35,10000.0,0.6830968447064438,0.2124,10.0,v8,becat,2.0
36,0.0,0.6982342196085025,0.2439,10.0,v8,becat,3.0
37,0.01,0.6866762894296334,0.2213,10.0,v8,becat,3.0
38,0.05,0.6991292522374928,0.2548,10.0,v8,becat,3.0
39,0.1,0.6917962684889891,0.309,10.0,v8,becat,3.0
40,0.5,0.6919965188025493,0.334,10.0,v8,becat,3.0
41,1.0,0.6963919107248343,0.1649,10.0,v8,becat,3.0
42,2.0,0.6989304253156726,0.3567,10.0,v8,becat,3.0
43,5.0,0.6973881748171997,0.3295,10.0,v8,becat,3.0
44,10.0,0.7015616791609635,0.4468,10.0,v8,becat,3.0
45,100.0,0.6952449786420914,0.29,10.0,v8,becat,3.0
46,1000.0,0.6963919107248343,0.3032,10.0,v8,becat,3.0
47,10000.0,0.6984331849891827,0.2745,10.0,v8,becat,3.0
48,0.0,0.6947459019236424,0.3317,10.0,v8,becat,4.0
49,0.01,0.6946460566836813,0.2862,10.0,v8,becat,4.0
50,0.05,0.6965912429625004,0.339,10.0,v8,becat,4.0
51,0.1,0.6949455625013247,0.1662,10.0,v8,becat,4.0
52,0.5,0.6985823830498846,0.372,10.0,v8,becat,4.0
53,1.0,0.6981347220709843,0.3019,10.0,v8,becat,4.0
54,2.0,0.6944962701292408,0.3142,10.0,v8,becat,4.0
55,5.0,0.6879336135070578,0.1814,10.0,v8,becat,4.0
56,10.0,0.7014129249769779,0.4359,10.0,v8,becat,4.0
57,100.0,0.6946460566836813,0.259,10.0,v8,becat,4.0
58,1000.0,0.6951451832226183,0.3218,10.0,v8,becat,4.0
59,10000.0,0.6980352146327214,0.3441,10.0,v8,becat,4.0
60,0.0,0.6998248353131858,0.3879,10.0,v8,becat,5.0
61,0.01,0.6907944149763481,0.2703,10.0,v8,becat,5.0
62,0.05,0.6888881236395619,0.2455,10.0,v8,becat,5.0
63,0.1,0.698532652836283,0.2834,10.0,v8,becat,5.0
64,0.5,0.6960928378485148,0.195,10.0,v8,becat,5.0
65,1.0,0.6931971793099868,0.2661,10.0,v8,becat,5.0
66,2.0,0.7027509167026402,0.4083,10.0,v8,becat,5.0
67,5.0,0.6932471755602786,0.3748,10.0,v8,becat,5.0
68,10.0,0.6936970293653808,0.2592,10.0,v8,becat,5.0
69,100.0,0.6979356972917424,0.4313,10.0,v8,becat,5.0
70,1000.0,0.6918463348268972,0.3529,10.0,v8,becat,5.0
71,10000.0,0.6958435421076878,0.2537,10.0,v8,becat,5.0
72,0.0,0.6935471005812722,0.358,10.0,v8,becat,6.0
73,0.01,0.6935970793403099,0.2593,10.0,v8,becat,6.0
74,0.05,0.6963420714564647,0.3322,10.0,v8,becat,6.0
75,0.1,0.6982342196085025,0.4232,10.0,v8,becat,6.0
76,0.5,0.6999738259022227,0.3677,10.0,v8,becat,6.0
77,1.0,0.6945462014736525,0.3205,10.0,v8,becat,6.0
78,2.0,0.698532652836283,0.3195,10.0,v8,becat,6.0
79,5.0,0.6899420496109969,0.2717,10.0,v8,becat,6.0
80,10.0,0.6942465760032464,0.3014,10.0,v8,becat,6.0
81,100.0,0.6940967295955335,0.3002,10.0,v8,becat,6.0
82,1000.0,0.6993280396350264,0.3339,10.0,v8,becat,6.0
83,10000.0,0.6941466808930288,0.4381,10.0,v8,becat,6.0
84,0.0,0.6910449724680751,0.3169,10.0,v8,becat,7.0
85,0.01,0.6839045991930127,0.1818,10.0,v8,becat,7.0
86,0.05,0.6999738259022227,0.3575,10.0,v8,becat,7.0
87,0.1,0.696491581810335,0.3345,10.0,v8,becat,7.0
88,0.5,0.6961925387459055,0.3005,10.0,v8,becat,7.0
89,1.0,0.6966410698142009,0.3644,10.0,v8,becat,7.0
90,2.0,0.6976370858327973,0.324,10.0,v8,becat,7.0
91,5.0,0.6954944236282933,0.2614,10.0,v8,becat,7.0
92,10.0,0.69868183605842,0.3138,10.0,v8,becat,7.0
93,100.0,0.6875817220870638,0.2552,10.0,v8,becat,7.0
94,1000.0,0.7012145516377041,0.3399,10.0,v8,becat,7.0
95,10000.0,0.6936970293653808,0.2413,10.0,v8,becat,7.0
96,0.0,0.7007680676913064,0.4333,10.0,v8,becat,8.0
97,0.01,0.7001227942963707,0.3997,10.0,v8,becat,8.0
98,0.05,0.6981347220709843,0.352,10.0,v8,becat,8.0
99,0.1,0.6952948726174042,0.3914,10.0,v8,becat,8.0
100,0.5,0.698830997028243,0.4208,10.0,v8,becat,8.0
101,1.0,0.6994771042548149,0.3202,10.0,v8,becat,8.0
102,2.0,0.6972387984631989,0.3893,10.0,v8,becat,8.0
103,5.0,0.696541413627961,0.3418,10.0,v8,becat,8.0
104,10.0,0.6928471355509433,0.3479,10.0,v8,becat,8.0
105,100.0,0.6920465751159123,0.2521,10.0,v8,becat,8.0
106,1000.0,0.6925970292544641,0.3224,10.0,v8,becat,8.0
107,10000.0,0.6920966289237662,0.2633,10.0,v8,becat,8.0
108,0.0,0.6908445314972698,0.2212,10.0,v8,becat,9.0
109,0.01,0.6958934062279706,0.3195,10.0,v8,becat,9.0
110,0.05,0.6979854572001946,0.2745,10.0,v8,becat,9.0
111,0.1,0.6975375288612382,0.2972,10.0,v8,becat,9.0
112,0.5,0.692446935445552,0.2253,10.0,v8,becat,9.0
113,1.0,0.6927971192956498,0.2482,10.0,v8,becat,9.0
114,2.0,0.6974379619771015,0.3528,10.0,v8,becat,9.0
115,5.0,0.6932471755602786,0.3099,10.0,v8,becat,9.0
116,10.0,0.6960928378485148,0.2756,10.0,v8,becat,9.0
117,100.0,0.6934471355689432,0.3874,10.0,v8,becat,9.0
118,1000.0,0.6956939348265212,0.2695,10.0,v8,becat,9.0
119,10000.0,0.6891893587056012,0.2142,10.0,v8,becat,9.0
120,0.0,0.7000234844993773,0.4431,20.0,v8,becat,0.0
121,0.01,0.6908445314972698,0.3349,20.0,v8,becat,0.0
122,0.05,0.6923468603891761,0.2394,20.0,v8,becat,0.0
123,0.1,0.6991789527916643,0.41,20.0,v8,becat,0.0
124,0.5,0.6962423854672476,0.3936,20.0,v8,becat,0.0
125,1.0,0.6993280396350264,0.2697,20.0,v8,becat,0.0
126,2.0,0.6939968195145233,0.3945,20.0,v8,becat,0.0
127,5.0,0.6969897882773955,0.3388,20.0,v8,becat,0.0
128,10.0,0.6935471005812722,0.3034,20.0,v8,becat,0.0
129,100.0,0.696541413627961,0.4041,20.0,v8,becat,0.0
130,1000.0,0.6958934062279706,0.3183,20.0,v8,becat,0.0
131,10000.0,0.6940967295955335,0.3226,20.0,v8,becat,0.0
132,0.0,0.6942965198164668,0.2956,20.0,v8,becat,1.0
133,0.01,0.6959432678619467,0.3623,20.0,v8,becat,1.0
134,0.05,0.6926470555182631,0.3866,20.0,v8,becat,1.0
135,0.1,0.6942965198164668,0.2158,20.0,v8,becat,1.0
136,0.5,0.6906941743988784,0.2422,20.0,v8,becat,1.0
137,1.0,0.7002220942319071,0.4361,20.0,v8,becat,1.0
138,2.0,0.6913455586133171,0.2339,20.0,v8,becat,1.0
139,5.0,0.6992286508758133,0.3397,20.0,v8,becat,1.0
140,10.0,0.6911952768347,0.3278,20.0,v8,becat,1.0
141,100.0,0.692897149304736,0.2913,20.0,v8,becat,1.0
142,1000.0,0.6974379619771015,0.3452,20.0,v8,becat,1.0
143,10000.0,0.6950952817779611,0.3228,20.0,v8,becat,1.0
144,0.0,0.6969399787986416,0.2836,20.0,v8,becat,2.0
145,0.01,0.6961426895397439,0.3315,20.0,v8,becat,2.0
146,0.05,0.6947958208054699,0.2664,20.0,v8,becat,2.0
147,0.1,0.6975375288612382,0.3324,20.0,v8,becat,2.0
148,0.5,0.6887374720712452,0.1947,20.0,v8,becat,2.0
149,1.0,0.6936470556015963,0.4016,20.0,v8,becat,2.0
150,2.0,0.6968901668387798,0.3865,20.0,v8,becat,2.0
151,5.0,0.6918963986582927,0.3076,20.0,v8,becat,2.0
152,10.0,0.6910950764338145,0.2944,20.0,v8,becat,2.0
153,100.0,0.7037408687708152,0.4603,20.0,v8,becat,2.0
154,1000.0,0.6976370858327973,0.4317,20.0,v8,becat,2.0
155,10000.0,0.7011649521535285,0.3509,20.0,v8,becat,2.0
156,0.0,0.6978859349071188,0.3519,20.0,v8,becat,3.0
157,0.01,0.6953447641034325,0.2816,20.0,v8,becat,3.0
158,0.05,0.6991789527916643,0.4002,20.0,v8,becat,3.0
159,0.1,0.6980849695895691,0.4359,20.0,v8,becat,3.0
160,0.5,0.706556867469863,0.4944,20.0,v8,becat,3.0
161,1.0,0.6918463348268972,0.3449,20.0,v8,becat,3.0
162,2.0,0.6953447641034325,0.3164,20.0,v8,becat,3.0
163,5.0,0.6907944149763481,0.2793,20.0,v8,becat,3.0
164,10.0,0.6982839646650977,0.3727,20.0,v8,becat,3.0
165,100.0,0.6954944236282933,0.3183,20.0,v8,becat,3.0
166,1000.0,0.7032460152373596,0.3516,20.0,v8,becat,3.0
167,10000.0,0.6958435421076878,0.395,20.0,v8,becat,3.0
168,0.0,0.6959432678619467,0.3905,20.0,v8,becat,4.0
169,0.01,0.6936970293653808,0.3124,20.0,v8,becat,4.0
170,0.05,0.7043343699505097,0.4432,20.0,v8,becat,4.0
171,0.1,0.6990795492130534,0.3446,20.0,v8,becat,4.0
172,0.5,0.6974877466583655,0.358,20.0,v8,becat,4.0
173,1.0,0.6979356972917424,0.4006,20.0,v8,becat,4.0
174,2.0,0.7058165836606083,0.4233,20.0,v8,becat,4.0
175,5.0,0.6947459019236424,0.3691,20.0,v8,becat,4.0
176,10.0,0.7029489855322058,0.4442,20.0,v8,becat,4.0
177,100.0,0.6976868606019772,0.4711,20.0,v8,becat,4.0
178,1000.0,0.6983337072472452,0.4328,20.0,v8,becat,4.0
179,10000.0,0.6983337072472452,0.3487,20.0,v8,becat,4.0
180,0.0,0.6991789527916643,0.4623,20.0,v8,becat,5.0
181,0.01,0.6968403523975629,0.3455,20.0,v8,becat,5.0
182,0.05,0.7003213843079458,0.2939,20.0,v8,becat,5.0
183,0.1,0.6899420496109969,0.2868,20.0,v8,becat,5.0
184,0.5,0.6958435421076878,0.441,20.0,v8,becat,5.0
185,1.0,0.7032460152373596,0.4156,20.0,v8,becat,5.0
186,2.0,0.6944962701292408,0.3798,20.0,v8,becat,5.0
187,5.0,0.6985823830498846,0.3071,20.0,v8,becat,5.0
188,10.0,0.7033450055363915,0.4366,20.0,v8,becat,5.0
189,100.0,0.6959432678619467,0.4459,20.0,v8,becat,5.0
190,1000.0,0.691245373270349,0.2082,20.0,v8,becat,5.0
191,10000.0,0.6977864027083703,0.287,20.0,v8,becat,5.0
192,0.0,0.69868183605842,0.257,20.0,v8,becat,6.0
193,0.01,0.6943464611354273,0.3237,20.0,v8,becat,6.0
194,0.05,0.6995764683248491,0.4231,20.0,v8,becat,6.0
195,0.1,0.6942465760032464,0.2942,20.0,v8,becat,6.0
196,0.5,0.6960928378485148,0.3372,20.0,v8,becat,6.0
197,1.0,0.6937969694014424,0.361,20.0,v8,becat,6.0
198,2.0,0.7006688219587914,0.4076,20.0,v8,becat,6.0
