,noise_type,mia,acc,T,version,machine,rp
0,0.01,0.005484930230569745,0.4245,50.0,v8,becat,0.0
1,0.05,0.0009995003330834232,0.2735,50.0,v8,becat,0.0
2,0.1,0.0037927982386962624,0.3781,50.0,v8,becat,0.0
3,0.5,0.021957167352042138,0.4691,50.0,v8,becat,0.0
4,1.0,0.011829751753577221,0.4297,50.0,v8,becat,0.0
5,2.0,0.004987541511038968,0.3699,50.0,v8,becat,0.0
6,5.0,0.00029995500899794244,0.3665,50.0,v8,becat,0.0
7,10.0,0.005683816468297709,0.3363,50.0,v8,becat,0.0
8,100.0,0.006975613736425138,0.3264,50.0,v8,becat,0.0
9,1000.0,0.003992021269537457,0.3885,50.0,v8,becat,0.0
10,10000.0,0.009950330853168092,0.3695,50.0,v8,becat,0.0
11,0.01,0.011829751753577221,0.4376,50.0,v8,becat,1.0
12,0.05,0.01715205881756566,0.4982,50.0,v8,becat,1.0
13,0.1,0.01242251999855711,0.4689,50.0,v8,becat,1.0
14,0.5,0.005882663158155512,0.2865,50.0,v8,becat,1.0
15,1.0,0.019312311032372884,0.4844,50.0,v8,becat,1.0
16,2.0,0.022543964434894436,0.4208,50.0,v8,becat,1.0
17,5.0,0.010049335853001438,0.3921,50.0,v8,becat,1.0
18,10.0,0.025082780367463243,0.4835,50.0,v8,becat,1.0
19,100.0,0.011632084229707696,0.3717,50.0,v8,becat,1.0
20,1000.0,0.013607003406216947,0.4014,50.0,v8,becat,1.0
21,10000.0,0.010346292054144267,0.4135,50.0,v8,becat,1.0
22,0.01,-0.006118681008177177,0.3377,50.0,v8,becat,2.0
23,0.05,0.00209779808214612,0.3224,50.0,v8,becat,2.0
24,0.1,0.006677654753240497,0.4374,50.0,v8,becat,2.0
25,0.5,-0.0038072383429540663,0.3173,50.0,v8,becat,2.0
26,1.0,0.038836023785198216,0.5359,50.0,v8,becat,2.0
27,2.0,0.010049335853001438,0.3476,50.0,v8,becat,2.0
28,5.0,0.0,0.3626,50.0,v8,becat,2.0
29,10.0,0.01064316009847976,0.4306,50.0,v8,becat,2.0
30,100.0,0.006975613736425138,0.3499,50.0,v8,becat,2.0
31,1000.0,0.012620031356102198,0.3847,50.0,v8,becat,2.0
32,10000.0,-0.00904074465214907,0.3032,50.0,v8,becat,2.0
33,0.01,0.014987129808248238,0.4764,50.0,v8,becat,3.0
34,0.05,0.016758783814954624,0.4131,50.0,v8,becat,3.0
35,0.1,0.005286004429237438,0.4183,50.0,v8,becat,3.0
36,0.5,0.005484930230569745,0.333,50.0,v8,becat,3.0
37,1.0,0.007571265496318126,0.4411,50.0,v8,becat,3.0
38,2.0,0.009851316050374202,0.4292,50.0,v8,becat,3.0
39,5.0,0.0030952049073025216,0.2405,50.0,v8,becat,3.0
40,10.0,0.0012991557316201288,0.2093,50.0,v8,becat,3.0
41,100.0,0.004987541511038968,0.4383,50.0,v8,becat,3.0
42,1000.0,0.01064316009847976,0.3488,50.0,v8,becat,3.0
43,10000.0,-0.003405793134832821,0.364,50.0,v8,becat,3.0
44,0.01,0.00876150566857267,0.36,50.0,v8,becat,4.0
45,0.05,0.0030952049073025216,0.3175,50.0,v8,becat,4.0
46,0.1,0.004390348301292854,0.4029,50.0,v8,becat,4.0
47,0.5,0.01340968690991774,0.4432,50.0,v8,becat,4.0
48,1.0,0.011335509663745679,0.3499,50.0,v8,becat,4.0
49,2.0,0.002796087302001188,0.3232,50.0,v8,becat,4.0
50,5.0,0.012718772407774612,0.3721,50.0,v8,becat,4.0
51,10.0,0.010544213875671097,0.4262,50.0,v8,becat,4.0
52,100.0,0.008662373078652587,0.4281,50.0,v8,becat,4.0
53,1000.0,0.005783244755727361,0.3785,50.0,v8,becat,4.0
54,10000.0,0.031498667059371016,0.5027,50.0,v8,becat,4.0
55,0.01,0.005286004429237438,0.3057,50.0,v8,becat,5.0
56,0.05,0.005087039048557209,0.2424,50.0,v8,becat,5.0
57,0.1,-0.003405793134832821,0.3336,50.0,v8,becat,5.0
58,0.5,0.0015987213636970735,0.2403,50.0,v8,becat,5.0
59,1.0,0.027031339051030518,0.4783,50.0,v8,becat,5.0
60,2.0,0.007074913671961985,0.3375,50.0,v8,becat,5.0
61,5.0,0.012027380212718455,0.4552,50.0,v8,becat,5.0
62,10.0,0.01872361399810251,0.4422,50.0,v8,becat,5.0
63,100.0,0.022054990780831313,0.4474,50.0,v8,becat,5.0
64,1000.0,0.009851316050374202,0.3342,50.0,v8,becat,5.0
65,10000.0,0.003493889254255838,0.4064,50.0,v8,becat,5.0
