a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	1	0	0.01	-0.23596450420481513	2.5	0.2678068582230167
0.1	0.1	1	2	1	0	0.10966666666666666	-0.4942039264288935	2.5	7.715822426208214e-07
0.1	0.1	1	2	1	0	0.20933333333333334	-0.48835720589744996	2.5	2.2230168453415908e-12
0.1	0.1	1	2	1	0	0.309	-0.48189688147482884	2.5	6.404766234493365e-18
0.1	0.1	1	2	1	0	0.4086666666666667	-0.47475949832343983	2.5	1.845286535028611e-23
0.1	0.1	1	2	1	0	0.5083333333333333	-0.4668740989379499	2.5	5.316481931876936e-29
0.1	0.1	1	2	1	0	0.608	-0.4581622892802905	2.5	1.5317393583829122e-34
0.1	0.1	1	2	1	0	0.7076666666666667	-0.448537459414229	2.5	4.413116591164604e-40
0.1	0.1	1	2	1	0	0.8073333333333333	-0.43790392245796833	2.5	1.2714694533783525e-45
0.1	0.1	1	2	1	0	0.907	-0.4261559632967505	2.5	3.6632491743156575e-51
0.1	0.1	1	2	1	0	1.0066666666666666	-0.413176787598077	2.5	1.0554240589475745e-56
0.1	0.1	1	2	1	0	1.1063333333333334	-0.39883736068100467	2.5	3.0407976394711177e-62
0.1	0.1	1	2	1	0	1.206	-0.3829951246959356	2.5	8.760886399949576e-68
0.1	0.1	1	2	1	0	1.3056666666666668	-0.3654925813615288	2.5	2.5241117500396652e-73
0.1	0.1	1	2	1	0	1.4053333333333333	-0.3461557261687703	2.5	7.272255153000445e-79
0.1	0.1	1	2	1	0	1.5050000000000001	-0.3247923184855757	2.5	2.095220031740233e-84
0.1	0.1	1	2	1	0	1.6046666666666667	-0.30118997036387646	2.5	6.036568972135733e-90
0.1	0.1	1	2	1	0	1.7043333333333333	-0.2751140350487395	2.5	1.73920468510821e-95
0.1	0.1	1	2	1	0	1.804	-0.24630527419777665	2.5	5.0108479678847746e-101
0.1	0.1	1	2	1	0	1.9036666666666666	-0.21447728061910737	2.5	1.4436827115431486e-106
0.1	0.1	1	2	1	0	2.0033333333333334	-0.179313630905588	2.5	4.15941530249298e-112
0.1	0.1	1	2	1	0	2.1029999999999998	-0.14046473965773493	2.5	1.1983752053192178e-117
