a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	1	0	0.01	0.44544923690022603	2.5	3.6259834775211535
0.1	0.1	1	2	1	0	0.10966666666666666	-0.4941942511372888	2.5	1.0446873847278347e-05
0.1	0.1	1	2	1	0	0.20933333333333334	-0.4883572058695744	2.5	3.009864050885256e-11
0.1	0.1	1	2	1	0	0.309	-0.48189688147482873	2.5	8.671763187005053e-17
0.1	0.1	1	2	1	0	0.4086666666666667	-0.47475949832343983	2.5	2.4984343312575267e-22
0.1	0.1	1	2	1	0	0.5083333333333333	-0.4668740989379499	2.5	7.1982755674882945e-28
0.1	0.1	1	2	1	0	0.608	-0.4581622892802905	2.5	2.0739056655300856e-33
0.1	0.1	1	2	1	0	0.7076666666666667	-0.448537459414229	2.5	5.975159840981987e-39
0.1	0.1	1	2	1	0	0.8073333333333333	-0.43790392245796833	2.5	1.721512010825159e-44
0.1	0.1	1	2	1	0	0.907	-0.4261559632967505	2.5	4.959873346129984e-50
0.1	0.1	1	2	1	0	1.0066666666666666	-0.413176787598077	2.5	1.42899633897178e-55
0.1	0.1	1	2	1	0	1.1063333333333334	-0.39883736068100467	2.5	4.117102180417605e-61
0.1	0.1	1	2	1	0	1.206	-0.3829951246959356	2.5	1.1861843100449413e-66
0.1	0.1	1	2	1	0	1.3056666666666668	-0.3654925813615288	2.5	3.417532904791874e-72
0.1	0.1	1	2	1	0	1.4053333333333333	-0.3461557261687703	2.5	9.846303863935792e-78
0.1	0.1	1	2	1	0	1.5050000000000001	-0.3247923184855757	2.5	2.8368329576290742e-83
0.1	0.1	1	2	1	0	1.6046666666666667	-0.30118997036387646	2.5	8.173240782225802e-89
0.1	0.1	1	2	1	0	1.7043333333333333	-0.2751140350487395	2.5	2.3548043145998169e-94
0.1	0.1	1	2	1	0	1.804	-0.24630527419777665	2.5	6.784461033029384e-100
0.1	0.1	1	2	1	0	1.9036666666666666	-0.21447728061910737	2.5	1.9546809568555485e-105
