a1	a3	a4	G_theta	G_k	E_lambda	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	0.1	1	2	0.5	1	0	0.01	0.45	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.10966666666666666	0.45	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.20933333333333334	0.45	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.309	0.45	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.4086666666666667	0.34553154769720706	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.5083333333333333	0.20517128786128866	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.608	0.09242887480608436	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.7076666666666667	-0.02967205414551538	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.8073333333333333	-0.12729033989414468	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	0.907	-0.19581753844822852	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.0066666666666666	-0.24259621813985915	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.1063333333333334	-0.28434122572483583	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.206	-0.30614366991689496	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.3056666666666668	-0.3139087780836635	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.4053333333333333	-0.311531934488314	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.5050000000000001	-0.30155233085081284	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.6046666666666667	-0.28559095595642797	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.7043333333333333	-0.2646437519183042	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.804	-0.23927746936549615	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	1.9036666666666666	-0.20976011679981604	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.0033333333333334	-0.17614740261253364	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.1029999999999998	-0.13833952162677748	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.2026666666666666	-0.09611790707086748	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.3023333333333333	-0.04916839211257207	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.4019999999999997	0.0029049086341455532	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.5016666666666665	0.060572120970946164	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.6013333333333333	0.12437462377658332	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.7009999999999996	0.19492528892664834	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.8006666666666664	0.2729111226841127	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	2.900333333333333	0.3590977789390621	4.5	nan
0.1	0.1	0.1	1	2	0.5	1	0	3.0	0.40270521103114837	4.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.01	0.45	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.10966666666666666	0.45	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.20933333333333334	0.45	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.309	0.45	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.4086666666666667	0.45	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.5083333333333333	0.3317424790962398	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.608	0.19612570970850035	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.7076666666666667	0.08750548959957022	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.8073333333333333	-0.02465726263335566	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	0.907	-0.11970901428622	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.0066666666666666	-0.18592816906666715	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.1063333333333334	-0.23031900932793042	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.206	-0.2688990630480326	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.3056666666666668	-0.2889096615489329	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.4053333333333333	-0.2947521674278775	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.5050000000000001	-0.29028950953425364	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.6046666666666667	-0.2780311880793262	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.7043333333333333	-0.25956952684188955	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.804	-0.23587157641419226	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	1.9036666666666666	-0.20747403239854284	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.0033333333333334	-0.17461294983774972	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.1029999999999998	-0.1373095748248438	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.2026666666666666	-0.09542659194390785	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.3023333333333333	-0.04870437144289663	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.4019999999999997	0.00321636599055114	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.5016666666666665	0.060781175634237294	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.6013333333333333	0.12451494427743176	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.7009999999999996	0.19501947406774206	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.8006666666666664	0.2729743411072883	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	2.900333333333333	0.35914021205518204	5.5	nan
0.1	0.1	0.1	1	2	0.5	2	1	3.0	0.40270662905242305	5.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.01	0.45	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.10966666666666666	0.45	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.20933333333333334	0.45	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.309	0.30215079289871083	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.4086666666666667	0.1331742873831494	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.5083333333333333	-0.039348870140525405	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.608	-0.1833500356667816	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.7076666666666667	-0.28247119936278603	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.8073333333333333	-0.3465823659875908	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	0.907	-0.37604085479567845	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.0066666666666666	-0.3882322250912085	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.1063333333333334	-0.3864213205432135	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.206	-0.37681509838115074	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.3056666666666668	-0.3625428357704383	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.4053333333333333	-0.3448267809048205	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.5050000000000001	-0.324193590405463	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.6046666666666667	-0.3009202261361495	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.7043333333333333	-0.2749925075126027	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.804	-0.2462505225459472	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	1.9036666666666666	-0.2144526134245494	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.0033333333333334	-0.17930251762467259	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.1029999999999998	-0.14045973280491214	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.2026666666666666	-0.09754228602869869	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.3023333333333333	-0.050125008443129004	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.4019999999999997	0.002262588605863647	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.5016666666666665	0.060140894613306906	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.6013333333333333	0.12408514095715212	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.7009999999999996	0.19473096860603095	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.8006666666666664	0.2727806858539907	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	2.900333333333333	0.3590102253186364	3.5	nan
0.1	0.1	0.1	1	2	1	1	0	3.0	0.4027022851304065	3.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.01	0.45	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.10966666666666666	0.45	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.20933333333333334	0.45	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.309	0.42569246376669134	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.4086666666666667	0.27642849296431304	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.5083333333333333	0.12263143761933454	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	0.608	-0.038127257543693005	4.5	nan
